entity_id,slug,name,entity_type,vertical,tier,noindex,path,last_verified,source_count,filename
drn-0025,drn-0025,Garuda Aerospace defence,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0025/,2026-08-30,1,drn-0025.json
drn-0026,drn-0026,NewSpace Research swarm,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0026/,2026-08-30,1,drn-0026.json
drn-0027,drn-0027,NewSpace Research Nagastra,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0027/,2026-08-30,1,drn-0027.json
drn-0028,drn-0028,NewSpace Research autonomous,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0028/,2026-08-30,1,drn-0028.json
drn-0029,drn-0029,Solar Industries Nagastra-1R,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0029/,2026-08-30,1,drn-0029.json
drn-0030,drn-0030,Solar Industries loitering,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0030/,2026-08-30,1,drn-0030.json
drn-0031,drn-0031,Zen Technologies Vyomkavach,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0031/,2026-08-30,1,drn-0031.json
drn-0032,drn-0032,Zen Technologies anti-drone,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0032/,2026-08-30,1,drn-0032.json
drn-0033,drn-0033,Dhaksha unmanned,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0033/,2026-08-30,1,drn-0033.json
drn-0034,drn-0034,Dhaksha swarming,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0034/,2026-08-30,1,drn-0034.json
drn-0035,drn-0035,IAI Heron,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0035/,2026-08-30,1,drn-0035.json
drn-0036,drn-0036,IAI Heron Mk II,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0036/,2026-08-30,1,drn-0036.json
drn-0037,drn-0037,IAI Searcher,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0037/,2026-08-30,1,drn-0037.json
drn-0038,drn-0038,General Atomics MQ-9B SeaGuardian,platform,drones-uas,C,true,/research/drones-uas/platform/drn-0038/,2026-08-30,1,drn-0038.json
drn-0039,drn-0039,Boeing Insitu ScanEagle,platform,drones-uas,C,true,/research/drones-uas/platform/drn-0039/,2026-08-30,1,drn-0039.json
drn-0040,drn-0040,Boeing Insitu RQ-20 Puma,platform,drones-uas,C,true,/research/drones-uas/platform/drn-0040/,2026-08-30,1,drn-0040.json
drn-0041,drn-0041,Elbit Hermes 900,platform,drones-uas,C,true,/research/drones-uas/platform/drn-0041/,2026-08-30,1,drn-0041.json
drn-0042,drn-0042,Elbit Skylark,platform,drones-uas,C,true,/research/drones-uas/platform/drn-0042/,2026-08-30,1,drn-0042.json
drn-0043,drn-0043,Aeronautics Defense Orbiter,platform,drones-uas,C,true,/research/drones-uas/platform/drn-0043/,2026-08-30,1,drn-0043.json
drn-0044,drn-0044,DJI Matrice,platform,drones-uas,C,true,/research/drones-uas/platform/drn-0044/,2026-08-30,1,drn-0044.json
drn-0045,drn-0045,DJI Mavic,platform,drones-uas,C,true,/research/drones-uas/platform/drn-0045/,2026-08-30,1,drn-0045.json
drn-0046,drn-0046,Baykar Bayraktar TB2,platform,drones-uas,C,true,/research/drones-uas/platform/drn-0046/,2026-08-30,1,drn-0046.json
drn-0047,drn-0047,Chinese commercial drones,platform,drones-uas,C,true,/research/drones-uas/platform/drn-0047/,2026-08-30,1,drn-0047.json
drn-0048,drn-0048,IAI NRUAV,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0048/,2026-08-30,1,drn-0048.json
drn-0049,drn-0049,DRDO Trinetra,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0049/,2026-08-30,1,drn-0049.json
drn-0050,drn-0050,Raphe mPhibr tactical,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0050/,2026-08-30,1,drn-0050.json
drn-0051,drn-0051,TASL tactical UAS,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0051/,2026-08-30,1,drn-0051.json
drn-0052,drn-0052,L&T high-altitude platform,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0052/,2026-08-30,1,drn-0052.json
drn-0053,drn-0053,Asteria Aerospace surveillance,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0053/,2026-08-30,1,drn-0053.json
drn-0054,drn-0054,Kadet Defence Systems,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0054/,2026-08-30,1,drn-0054.json
drn-0055,drn-0055,Paras Defence drone,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0055/,2026-08-30,1,drn-0055.json
drn-0056,drn-0056,Alpha Design Technologies,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0056/,2026-08-30,1,drn-0056.json
drn-0057,drn-0057,TechEagle logistics,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0057/,2026-08-30,1,drn-0057.json
drn-0058,drn-0058,Redwing Labs,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0058/,2026-08-30,1,drn-0058.json
drn-0059,drn-0059,Zuppa Geo Navigation,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0059/,2026-08-30,1,drn-0059.json
drn-0060,drn-0060,Throttle Aerospace,platform,drones-uas,B,false,/research/drones-uas/platform/drn-0060/,2026-08-30,1,drn-0060.json
cus-020,drona-counter-drone-smart-city-cus-020,DRONA Counter-Drone Smart City,system,counter-uas,C,true,/research/counter-uas/system/drona-counter-drone-smart-city-cus-020/,2026-08-29,0,drona-counter-drone-smart-city-cus-020.json
cus-021,dronedefender-cus-021,DroneDefender,system,counter-uas,C,true,/research/counter-uas/system/dronedefender-cus-021/,2026-08-29,0,dronedefender-cus-021.json
cus-022,dronegun-tactical-cus-022,DroneGun Tactical,system,counter-uas,C,true,/research/counter-uas/system/dronegun-tactical-cus-022/,2026-08-29,0,dronegun-tactical-cus-022.json
cus-023,dronesentry-x-cus-023,DroneSentry-X,system,counter-uas,C,true,/research/counter-uas/system/dronesentry-x-cus-023/,2026-08-29,0,dronesentry-x-cus-023.json
mfg-020,droneshield-mfg-020,DroneShield,manufacturer,counter-uas,C,true,/research/counter-uas/manufacturer/droneshield-mfg-020/,2026-08-29,0,droneshield-mfg-020.json
dynamatic,dynamatic,Dynamatic Technologies Limited,company,military-aerospace,A,false,/research/military-aerospace/company/dynamatic/,2026-08-29,4,dynamatic.json
cus-040,elbit-bright-arrow-soft-hard-kill-cus-040,Elbit Bright Arrow (Soft/Hard Kill),system,counter-uas,C,true,/research/counter-uas/system/elbit-bright-arrow-soft-hard-kill-cus-040/,2026-08-29,0,elbit-bright-arrow-soft-hard-kill-cus-040.json
mfg-032,elbit-systems-mfg-032,Elbit Systems Limited,manufacturer,counter-uas,A,false,/research/counter-uas/manufacturer/elbit-systems-mfg-032/,2026-08-29,7,elbit-systems-mfg-032.json
elbit,elbit,Elbit Systems Limited,company,military-aerospace,A,false,/research/military-aerospace/company/elbit/,2026-08-29,7,elbit.json
embrace-cosmoserv,embrace-cosmoserv,Embrace (Cosmoserve Space),platform,space,C,true,/research/space/entity/embrace-cosmoserv/,2026-08-29,2,embrace-cosmoserv.json
embraer,embraer,Embraer Defense & Security,company,military-aerospace,B,false,/research/military-aerospace/company/embraer/,2026-08-29,4,embraer.json
eon-space-labs,eon-space-labs,EON Space Labs,company,space,B,false,/research/space/company/eon-space-labs/,2026-08-30,1,eon-space-labs.json
cus-052,epirus-leonidas-pod-hpm-cus-052,Epirus Leonidas Pod HPM,system,counter-uas,C,true,/research/counter-uas/system/epirus-leonidas-pod-hpm-cus-052/,2026-08-29,0,epirus-leonidas-pod-hpm-cus-052.json
mfg-040,epirus-mfg-040,Epirus,manufacturer,counter-uas,C,true,/research/counter-uas/manufacturer/epirus-mfg-040/,2026-08-29,0,epirus-mfg-040.json
cus-049,esc-britecloud-drfm-decoy-cuas-capable-cus-049,ESC BriteCloud DRFM Decoy (CUAS-capable),system,counter-uas,C,true,/research/counter-uas/system/esc-britecloud-drfm-decoy-cuas-capable-cus-049/,2026-08-29,0,esc-britecloud-drfm-decoy-cuas-capable-cus-049.json
etherealx,etherealx,EtherealX,company,space,B,false,/research/space/company/etherealx/,2026-08-30,1,etherealx.json
europrop,europrop,Europrop International,company,military-aerospace,C,true,/research/military-aerospace/company/europrop/,2026-08-29,2,europrop.json
everest-engine,everest-engine,Everest Engine,platform,space,C,true,/research/space/entity/everest-engine/,2026-08-30,0,everest-engine.json
firefly-constellation,firefly-constellation,Pixxel Firefly Constellation,platform,space,A,false,/research/space/entity/firefly-constellation/,2026-08-29,6,firefly-constellation.json
cus-033,fortem-skydome-system-cus-033,Fortem SkyDome System,system,counter-uas,C,true,/research/counter-uas/system/fortem-skydome-system-cus-033/,2026-08-29,0,fortem-skydome-system-cus-033.json
mfg-022,fortem-technologies-mfg-022,Fortem Technologies,manufacturer,counter-uas,C,true,/research/counter-uas/manufacturer/fortem-technologies-mfg-022/,2026-08-29,0,fortem-technologies-mfg-022.json
gaganyaan,gaganyaan,Gaganyaan Crewed Spacecraft Programme,platform,space,A,false,/research/space/entity/gaganyaan/,2026-08-30,4,gaganyaan.json
galaxeye,galaxeye,GalaxEye,company,space,B,false,/research/space/company/galaxeye/,2026-08-30,1,galaxeye.json
mfg-008,garuda-aerospace-mfg-008,Garuda Aerospace Private Limited,manufacturer,counter-uas,B,false,/research/counter-uas/manufacturer/garuda-aerospace-mfg-008/,2026-08-29,6,garuda-aerospace-mfg-008.json
cus-007,garuda-anti-drone-system-cus-007,Garuda Anti-Drone System,system,counter-uas,B,false,/research/counter-uas/system/garuda-anti-drone-system-cus-007/,2026-08-29,4,garuda-anti-drone-system-cus-007.json
godrej-aerospace,godrej-aerospace,Godrej Aerospace,company,military-aerospace,B,false,/research/military-aerospace/company/godrej-aerospace/,2026-08-29,3,godrej-aerospace.json
grahaa-space,grahaa-space,Grahaa Space,company,space,B,false,/research/space/company/grahaa-space/,2026-08-30,1,grahaa-space.json
mfg-007,grene-robotics-mfg-007,Grene Robotics Private Limited,manufacturer,counter-uas,A,false,/research/counter-uas/manufacturer/grene-robotics-mfg-007/,2026-08-29,6,grene-robotics-mfg-007.json
gtre,gtre,Gas Turbine Research Establishment (GTRE),company,military-aerospace,A,false,/research/military-aerospace/company/gtre/,2026-08-29,4,gtre.json
def-013,hal-dhruv-alh-def-013,HAL Dhruv Advanced Light Helicopter (ALH),platform,defence,A,false,/research/pillars/defence/entity/hal-dhruv-alh-def-013/,2026-08-29,4,hal-dhruv-alh-def-013.json
cus-059,hal-integrated-cuas-airborne-cus-059,HAL Integrated CUAS (Airborne),system,counter-uas,C,true,/research/counter-uas/system/hal-integrated-cuas-airborne-cus-059/,2026-08-29,0,hal-integrated-cuas-airborne-cus-059.json
def-014,hal-lch-prachand-def-014,HAL LCH Prachand (Light Combat Helicopter),platform,defence,A,false,/research/pillars/defence/entity/hal-lch-prachand-def-014/,2026-08-29,4,hal-lch-prachand-def-014.json
mae-001,hal-mig-29upg-mae-001,HAL MiG-29UPG,platform,military-aerospace,A,false,/research/military-aerospace/entity/hal-mig-29upg-mae-001/,2026-08-29,4,hal-mig-29upg-mae-001.json
hal-space,hal-space,HAL Space Division,company,space,C,true,/research/space/company/hal-space/,2026-08-30,1,hal-space.json
def-015,hal-su-30mki-def-015,HAL Su-30MKI (Sukhoi Su-30MKI),platform,defence,A,false,/research/pillars/defence/entity/hal-su-30mki-def-015/,2026-08-29,4,hal-su-30mki-def-015.json
hal,hal,Hindustan Aeronautics Limited,company,military-aerospace,A,false,/research/military-aerospace/company/hal/,2026-08-29,8,hal.json
hamilton,hamilton,Hamilton Sundstrand (Collins Aerospace),company,military-aerospace,C,true,/research/military-aerospace/company/hamilton/,2026-08-29,2,hamilton.json
helina,helina,HELINA,platform,defence,C,true,/research/pillars/defence/entity/helina/,2026-08-30,1,helina.json
mfg-028,hensoldt-mfg-028,Hensoldt,manufacturer,counter-uas,C,true,/research/counter-uas/manufacturer/hensoldt-mfg-028/,2026-08-29,0,hensoldt-mfg-028.json
cus-032,hensoldt-xpeller-counter-uas-cus-032,Hensoldt Xpeller Counter-UAS,system,counter-uas,C,true,/research/counter-uas/system/hensoldt-xpeller-counter-uas-cus-032/,2026-08-29,0,hensoldt-xpeller-counter-uas-cus-032.json
hex20,hex20,Hex20,company,space,B,false,/research/space/company/hex20/,2026-08-30,1,hex20.json
hi-lok-cherry,hi-lok-cherry,Hi-Lok / Cherry Aerospace Fastening Systems,company,military-aerospace,C,true,/research/military-aerospace/company/hi-lok-cherry/,2026-08-29,2,hi-lok-cherry.json
mfg-017,hindustan-aeronautics-limited-hal-mfg-017,Hindustan Aeronautics Limited,manufacturer,counter-uas,A,false,/research/counter-uas/manufacturer/hindustan-aeronautics-limited-hal-mfg-017/,2026-08-29,8,hindustan-aeronautics-limited-hal-mfg-017.json
honeywell,honeywell,Honeywell Aerospace,company,military-aerospace,B,false,/research/military-aerospace/company/honeywell/,2026-08-29,3,honeywell.json
hs748,hs748,HAL HS-748 'Avro',platform,military-aerospace,B,false,/research/military-aerospace/platform/hs748/,2026-08-29,3,hs748.json
htt40,htt40,HAL HTT-40,platform,military-aerospace,A,false,/research/military-aerospace/platform/htt40/,2026-08-29,4,htt40.json
iae,iae,International Aero Engines,company,military-aerospace,C,true,/research/military-aerospace/company/iae/,2026-08-29,2,iae.json
iaf,iaf,Indian Air Force,company,military-aerospace,B,false,/research/military-aerospace/company/iaf/,2026-08-29,4,iaf.json
cus-027,iai-drone-guard-cus-027,IAI Drone Guard,system,counter-uas,C,true,/research/counter-uas/system/iai-drone-guard-cus-027/,2026-08-29,0,iai-drone-guard-cus-027.json
cus-028,iai-elm-2182-drone-detection-radar-cus-028,IAI EL/M-2182 Drone Detection Radar,system,counter-uas,C,true,/research/counter-uas/system/iai-elm-2182-drone-detection-radar-cus-028/,2026-08-29,0,iai-elm-2182-drone-detection-radar-cus-028.json
drn-005,iai-heron-tp-india-drn-005,IAI Heron TP (India),platform,drones-uas,C,true,/research/drones-uas/platform/iai-heron-tp-india-drn-005/,2026-08-29,0,iai-heron-tp-india-drn-005.json
drn-006,iai-searcher-mk-ii-india-drn-006,IAI Searcher Mk II (India),platform,drones-uas,A,false,/research/drones-uas/platform/iai-searcher-mk-ii-india-drn-006/,2026-08-29,4,iai-searcher-mk-ii-india-drn-006.json
drn-003,ideaforge-netra-v4-drn-003,ideaForge NETRA V4 UAV,platform,drones-uas,A,false,/research/drones-uas/platform/ideaforge-netra-v4-drn-003/,2026-08-29,4,ideaforge-netra-v4-drn-003.json
drn-002,ideaforge-switch-uav-drn-002,ideaForge Switch UAV,platform,drones-uas,A,false,/research/drones-uas/platform/ideaforge-switch-uav-drn-002/,2026-08-29,4,ideaforge-switch-uav-drn-002.json
mfg-014,ideaforge-technology-ltd-mfr-014,ideaForge Technology Ltd,manufacturer,drones-uas,A,false,/research/drones-uas/company/ideaforge-technology-ltd-mfr-014/,2026-08-29,4,ideaforge-technology-ltd-mfr-014.json
cus-018,igla-s-manpad-integration-anti-drone-cus-018,Igla-S MANPAD (Anti-Drone Role),system,counter-uas,B,false,/research/counter-uas/system/igla-s-manpad-integration-anti-drone-cus-018/,2026-08-29,5,igla-s-manpad-integration-anti-drone-cus-018.json
il76,il76,Ilyushin Il-76MD 'Gajraj',platform,military-aerospace,A,false,/research/military-aerospace/platform/il76/,2026-08-29,4,il76.json
ilyushin,ilyushin,Ilyushin Aviation Complex,company,military-aerospace,B,false,/research/military-aerospace/company/ilyushin/,2026-08-29,4,ilyushin.json
in-space,in-space,IN-SPACe,company,space,C,true,/research/space/company/in-space/,2026-08-30,1,in-space.json
cus-005,indrajaal-anti-drone-system-cus-005,Indrajaal Anti-Drone System,system,counter-uas,A,false,/research/counter-uas/system/indrajaal-anti-drone-system-cus-005/,2026-08-29,4,indrajaal-anti-drone-system-cus-005.json
inorbit-space,inorbit-space,InOrbit Space,company,space,B,false,/research/space/company/inorbit-space/,2026-08-30,1,inorbit-space.json
cus-016,insas-counter-drone-naval-cus-016,INSAS Counter-Drone Naval System,system,counter-uas,C,true,/research/counter-uas/system/insas-counter-drone-naval-cus-016/,2026-08-29,0,insas-counter-drone-naval-cus-016.json
cus-001,integrated-counter-drone-system-cus-001,BEL Integrated Counter Drone System,system,counter-uas,A,false,/research/counter-uas/system/integrated-counter-drone-system-cus-001/,2026-08-29,4,integrated-counter-drone-system-cus-001.json
intel-xilinx,intel-xilinx,Avionics Microelectronics — Intel / AMD-Xilinx / Microchip-Microsemi / TI / ST,company,military-aerospace,C,true,/research/military-aerospace/company/intel-xilinx/,2026-08-29,2,intel-xilinx.json
cus-051,iron-beam-laser-cuas-cus-051,Iron Beam Laser CUAS,system,counter-uas,C,true,/research/counter-uas/system/iron-beam-laser-cuas-cus-051/,2026-08-29,0,iron-beam-laser-cuas-cus-051.json
mfg-024,israel-aerospace-industries-iai-elta-mfg-024,Israel Aerospace Industries (IAI) / ELTA Systems,manufacturer,counter-uas,A,false,/research/counter-uas/manufacturer/israel-aerospace-industries-iai-elta-mfg-024/,2026-08-29,8,israel-aerospace-industries-iai-elta-mfg-024.json
mfg-001,israel-aerospace-industries-iai-mfr-001,Israel Aerospace Industries (IAI),manufacturer,drones-uas,A,false,/research/drones-uas/company/israel-aerospace-industries-iai-mfr-001/,2026-08-29,4,israel-aerospace-industries-iai-mfr-001.json
spc-003,isro-gaganyaan-spc-003,ISRO Gaganyaan Crewed Spacecraft Programme,platform,space,A,false,/research/space/entity/isro-gaganyaan-spc-003/,2026-08-29,4,isro-gaganyaan-spc-003.json
spc-002,isro-lvm3-spc-002,ISRO LVM3 (Launch Vehicle Mark 3 / GSLV Mk III),platform,space,A,false,/research/space/entity/isro-lvm3-spc-002/,2026-08-29,4,isro-lvm3-spc-002.json
spc-004,isro-navic-spc-004,ISRO NavIC (Navigation with Indian Constellation),platform,space,A,false,/research/space/entity/isro-navic-spc-004/,2026-08-29,4,isro-navic-spc-004.json
spc-001,isro-pslv-spc-001,ISRO PSLV (Polar Satellite Launch Vehicle),platform,space,A,false,/research/space/entity/isro-pslv-spc-001/,2026-08-29,4,isro-pslv-spc-001.json
isro,isro,ISRO,company,space,C,true,/research/space/company/isro/,2026-08-30,1,isro.json
ivchenko-progress,ivchenko-progress,Ivchenko-Progress / Motor Sich,company,military-aerospace,C,true,/research/military-aerospace/company/ivchenko-progress/,2026-08-29,2,ivchenko-progress.json
k-15,k-15,K-15,platform,defence,C,true,/research/pillars/defence/entity/k-15/,2026-08-30,1,k-15.json
k-4,k-4,K-4,platform,defence,C,true,/research/pillars/defence/entity/k-4/,2026-08-30,1,k-4.json
def-016,k9-vajra-t-def-016,K9 Vajra-T 155mm Tracked Self-Propelled Howitzer,platform,defence,A,false,/research/pillars/defence/entity/k9-vajra-t-def-016/,2026-08-29,5,k9-vajra-t-def-016.json
cus-058,kalyani-group-bharat-cuas-cus-058,Kalyani Bharat CUAS,system,counter-uas,B,false,/research/counter-uas/system/kalyani-group-bharat-cuas-cus-058/,2026-08-29,3,kalyani-group-bharat-cuas-cus-058.json
mfg-016,kalyani-strategic-systems-bharat-forge-mfg-016,Kalyani Strategic Systems Limited (Bharat Forge),manufacturer,counter-uas,A,false,/research/counter-uas/manufacturer/kalyani-strategic-systems-bharat-forge-mfg-016/,2026-08-29,8,kalyani-strategic-systems-bharat-forge-mfg-016.json
kepler-aerospace,kepler-aerospace,Kepler Aerospace,company,space,B,false,/research/space/company/kepler-aerospace/,2026-08-30,1,kepler-aerospace.json
mfg-042,knds-france-mfg-042,KNDS France,manufacturer,counter-uas,C,true,/research/counter-uas/manufacturer/knds-france-mfg-042/,2026-08-29,0,knds-france-mfg-042.json
cus-054,knds-france-rapidfire-naval-cuas-cus-054,KNDS France RapidFire Naval CUAS,system,counter-uas,C,true,/research/counter-uas/system/knds-france-rapidfire-naval-cuas-cus-054/,2026-08-29,0,knds-france-rapidfire-naval-cuas-cus-054.json
cus-014,kriti-counter-drone-system-cus-014,Kriti Counter-Drone System,system,counter-uas,C,true,/research/counter-uas/system/kriti-counter-drone-system-cus-014/,2026-08-29,0,kriti-counter-drone-system-cus-014.json
mfg-012,kritikal-securescan-mfg-012,Kritikal Securescan,manufacturer,counter-uas,C,true,/research/counter-uas/manufacturer/kritikal-securescan-mfg-012/,2026-08-29,0,kritikal-securescan-mfg-012.json
cus-057,l-t-defence-counter-drone-system-cus-057,L&T Defence Counter Drone System,system,counter-uas,B,false,/research/counter-uas/system/l-t-defence-counter-drone-system-cus-057/,2026-08-29,2,l-t-defence-counter-drone-system-cus-057.json
mfg-033,l3harris-technologies-mfg-033,L3Harris Technologies,manufacturer,counter-uas,C,true,/research/counter-uas/manufacturer/l3harris-technologies-mfg-033/,2026-08-29,0,l3harris-technologies-mfg-033.json
cus-041,l3harris-vampire-cuas-variant-cus-041,L3Harris VAMPIRE CUAS Variant,system,counter-uas,C,true,/research/counter-uas/system/l3harris-vampire-cuas-variant-cus-041/,2026-08-29,0,l3harris-vampire-cuas-variant-cus-041.json
